句子内容	类型	语境分
晚饭后去喝点啤酒怎么样？	HIGH	0.5274
你知道这很诱人，但对我们的健康真的不好。	HIGH	0.6003
什么意思它会帮助我们放松。	HIGH	0.5522
你真的这么认为吗？我没有。这只会让我们变胖，变傻。记得上次吗？	HIGH	0.6163
那天津不是我们吃面的时候也没也不贵吧	LOW	0.3651
这家餐馆不是我们喝茶的时候也没也不贵吧	LOW	0.3651
那个城市不是我们逛街的时候也没也不拥挤吧	LOW	0.3651
这家店不是我们聊天的时候也没也不闷吧	LOW	0.3651
我想你是对的。但是我们该怎么办呢？我不想坐在家里。	HIGH	0.7408
我建议去健身房，在那里我们可以唱歌，还可以认识一些朋友。	HIGH	0.6921
这是个好主意。	HIGH	0.8160
我听说玛丽和莎莉经常去那里打乒乓球。	HIGH	0.5062
也许我们可以和他们组成一个四人组。	HIGH	0.4857
然后中间留了一个三米的那个道儿。	LOW	0.3086
接着在那个空地里留了一个三米的小径。	LOW	0.3086
接下来在那片区域中留下一个三米宽的通道。	LOW	0.3086
接着在中间空出一个三米的走道。	LOW	0.3086
你就明白吧。	HIGH	0.5047
听起来很棒！如果他们愿意，我们可以请他们和我们一起去跳舞。那也是极好的锻炼和乐趣。	HIGH	0.6753
很好。我们走吧。	HIGH	0.5264
你会做俯卧撑吗？	HIGH	0.7405
我当然可以。小菜一碟！信不信由你，我一分钟可以做个俯卧撑。	HIGH	0.5852
真的吗？我认为那是不可能的！	HIGH	0.8265
你是说个俯卧撑？	LOW	0.3696
你是在提到一个俯卧撑吗？	LOW	0.3696
你是要讨论一个俯卧撑吗？	LOW	0.3696
你是要谈论一个俯卧撑吗？	LOW	0.3696
很简单。如果你每天锻炼，你也能做到。	HIGH	0.7252
你能开着收音机学习吗？	HIGH	0.4881
不，我听背景音乐。	HIGH	0.5327
有什么不同？	HIGH	0.6489
收音机里的新闻太多了。	HIGH	0.5505
没错，但是你必须买一台电唱机。	HIGH	0.6951
你还好吗？	HIGH	0.7534
我很快就会好的。当我看到他们从电线上掉下来时，我吓坏了。	HIGH	0.7007
别担心。他是一名杂技演员。	HIGH	0.6410
我明白了。	HIGH	0.5509
嘿，约翰，溜冰鞋不错。它们是新的吗？	HIGH	0.5680
是的，我刚拿到。我开始在社区联盟打冰球。所以，我终于给自己买了新冰鞋。	HIGH	0.5535
你打什么位置？	HIGH	0.5169
我是一名后卫。这很有趣。你不必在防守时滑得那么快。	HIGH	0.6714
是的，你是个很大的家伙。我自己也打守门员。	HIGH	0.6344
是吗？哪个队？	HIGH	0.6195
火箭队。	HIGH	0.5432
真的吗？我想我们下周和你们比赛。嗯，我得去练习了。回头见。	HIGH	0.5340
好吧，回头见。	HIGH	0.5458
嘿，莉迪亚，你在看什么？	HIGH	0.6398
我在看我这个月的星座运势！我的前景非常乐观。它说我应该去一个充满异国情调的地方度假，我会有一个充满激情的夏日狂欢！	HIGH	0.5466
你在说什么？让我看看什么是星座？	HIGH	0.6301
这是根据你的星座对你月份的预测。你出生的月份和日期有不同的符号。我出生于月日，所以我是白羊座。你什么时候出生的？	HIGH	0.7149
让我想想。。。你是摩羯。它说你在工作中会感到压力，但是你可以在你的爱情生活中看到新的、令人兴奋的发展。看来我们都会有有趣的夏天！	HIGH	0.5642
那是假的。我在工作中没有感到任何压力，我的爱情生活实际上是不存在的。十二宫杀手的事情都是一派胡言。	HIGH	0.6453
不，不是的，你的星座能告诉你很多关于你个性的信息。看到了吗？据说白羊座精力充沛，喜欢社交。	HIGH	0.5905
你当然符合这些标准，但它们太宽泛了，可以适用于任何人。它说了我什么？	HIGH	0.6919
